111.69.7.186, 23655, [23655], {1299, 23655}, 241.0
2a00:800:0:1::f:2e, None, [1257], {1257}, 45.0
2a01:3e0:10:2100::102, None, [6453], {9009, 6453}, 47.845360824742265
2001:7f8:1::a502:5152:1, None, [-150], {25152, -150, 1103}, 56.625
2804:5330:2::35:2, None, [174], {-668, 174}, 50.0
205.251.126.61, None, [33597], {33597}, 51.0
173.255.239.17, 63949, [63949], {2914, 63949}, 244.0
2001:41b0:0:13a0::1, None, [12741], {12741}, 46.0
2001:dc2::1, None, [2515], {2515}, 52.028301886792455
119.30.106.2, 23966, [23966], {23966}, 237.0
112.188.192.66, 4766, [4766], {4766}, 241.0
2001:1900:2100::29d2, None, [3356], {3356}, 48.0
2400:c700:0:24::83, None, [55644], {55644}, 41.0
213.178.75.237, 13101, [13101], {13101}, 233.0
212.47.201.157, 3327, [3327], {3327}, 240.0
2606:2800:4026:c::a, None, [15133], {2914, 15133}, 52.0
197.226.230.11, 23889, [23889], {23889}, 242.0
223.119.64.189, None, [58453], {0, 58453}, 241.0
203.131.241.86, None, [2914], {2914, 58453}, 247.0
188.43.2.65, 47165, [20485], {2914, 47165, 20485}, 240.0
2001:1900:5:2:2::6ce, None, [3356], {3356, 43751}, 49.0
4.30.136.18, None, [3356], {2914, 3356}, 244.0
2001:668:0:3:ffff:0:c7e5:e759, None, [3257], {3257, 2914}, 53.0
2001:798:22::2, None, [20965], {-63, 20965}, 54.0
2620:107:4000:9003::12, None, [0], {0}, 36.0
2a00:f28:300:1::2, None, [15802], {15802}, 47.0
2804:cc4:0:f:2::2e, None, [52551], {4809, 21574, 52551}, 48.5
193.251.131.98, 5511, [0], {0}, 241.0
2001:67c:2e8:11::c100:133b, None, [3333], {-150, 3333}, 53.625
202.166.124.82, 45143, [9506], {9506}, 237.0
2001:470:0:55::1, None, [6939], {6939}, 56.0
144.232.22.161, 1239, [1239], {1239}, 245.0
2a01:578:0:11::5, None, [16509], {0, 16509}, 46.0
2606:2800:50a8:f::6, None, [15133], {2914, 15133}, 50.0
2001:218:0:2000::75, None, [2914], {2914, 9498}, 55.0
2001:a10:221:1::2, None, [8308], {8308, 197087}, 45.0
2600:1406:a:ffff::6, None, [35994], {209, 35994}, 52.0
2001:1498:1::32:212, None, [12956], {12956}, 52.0
2001:470:0:3ad::2, None, [6939], {6939}, 55.92783505154639
62.115.136.218, 1299, [1299], {1299}, 242.0
2408:8000:2:387::1, None, [4837], {4837}, 51.0
2a02:4b0:223::1, None, [43751], {3356, 43751}, 48.0
129.250.207.210, 23352, [2914], {2914}, 243.0
2001:470:0:e2::2, None, [6939], {6939}, 48.0
2001:688:0:3:8::121, None, [5511], {328126, 5511}, 46.0
2001:1900::3:14d, None, [3356], {2914, 3356}, 51.0
2001:df0:2e8:4200::2e, None, [45896], {45896, 2914}, 51.0
2001:1890:ff:ffff:12:83:178:30, None, [7018], {0, 7018}, 50.0
2a0b:97c0:0:110::2, None, [58067], {58067, 20485}, 46.0
180.87.39.169, 6453, [6453], {6453}, 235.0
2001:470:0:2cf::1, None, [6939], {197000, 714, -437, 6939, 31133}, 54.0
193.251.131.70, None, [0], {0, 5511}, 241.0
2001:468:fc:4e::1, None, [11537], {11537, 20965}, 47.52060737527115
205.251.126.69, None, [33597], {33597, 29838}, 243.0
64.230.79.97, 577, [0], {0}, 239.0
240e:5:2000:2007::1, None, [58542], {4134, 58542}, 47.0
2803:6940:200:16::2, None, [61512], {61512, 265912}, 45.0
2001:728:0:2000::4d, None, [2914], {2914}, 53.0
2001:1278:1::1f9, None, [18734], {1299, 18734}, 46.0
2001:de8:8::1:5169:2, None, [-396], {15169, 2907, -396}, 59.0
197.155.94.74, 30844, [30844], {30844}, 237.0
2001:4888:0:7:422:1::, None, [6167], {6167}, 46.0
2001:1890:ff:ffff:12:122:5:230, None, [7018], {7018}, 51.0
2001:7fa:0:1::ca28:a0d7, None, [-330], {58453, -330}, 50.0
116.51.31.54, 4657, [2914], {0, 2914, 9498}, 246.0
2001:200:0:fe00::1269:0, None, [-574], {4713, -574, 2500}, 59.21254355400697
83.97.21.163, None, [9009], {9009}, 236.0
2001:7f8:4::799d:1, None, [-437], {6939, 714, -437}, 48.0
173.255.239.5, 63949, [63949], {2914, 63949}, 244.0
2a00:11c0::ad, None, [42473], {42473, 47147}, 48.0
2620:7a:8000::1, None, [30622], {3356, 30622}, 53.0
123.255.91.42, 10098, [-330], {10098, 7660, -330}, 247.0
129.250.2.20, 2914, [2914], {2914}, 244.0
154.54.84.2, None, [174], {174}, 242.0
2001:620:0:c0f5::1, None, [559], {559}, 50.0
2a0a:5880::1, None, [60110], {174, 60110}, 45.0
2001:240:bb1c:22::ca, None, [2497], {2497}, 57.0
12.122.30.133, 7018, [7018], {7018}, 239.0
2804:14c:5b00:a5::1, None, [28573], {28573}, 46.0
2001:2000:3080:1bdf::2, None, [1299], {54825, 1299}, 51.0
2001:470:0:4b8::2, None, [6939], {-247, 6939}, 54.94
2001:4478:1:1::c, None, [4802], {4802, -330}, 47.0
199.229.231.89, None, [3257], {3257, 2914}, 245.0
2607:f438:0:1002:63:245:90:191, None, [23520], {23520}, 49.0
2001:550:0:1000::9a36:2a65, None, [174], {2914, 174}, 53.0
2400:c700:0:268::, None, [55644], {55644}, 42.0
2001:4860:0:1::189f, None, [15169], {15169, -396}, 56.0
2001:978:2:22::48:2, None, [174], {-254, -437, 174, 328145, 9498}, 50.074074074074076
103.25.155.221, None, [132751], {132751}, 239.0
2001:4d0:301:2::2, None, [297], {297, 11537}, 55.0
2001:240:bb01:55::152, None, [2497], {2497}, 58.0
2001:728:1806::7, None, [2914], {2914, 43350}, 51.0
2600:c07::1:8a, None, [29791], {29791}, 50.0
2001:470:1:142::2, None, [6939], {8560, 6939}, 51.0
2400:8800:1f02:31::2, None, [3491], {3491}, 51.0
2a01:68c0:0:3:1::1, None, [35168], {35168, 31133, 35566}, 45.0
2001:728:0:2000::4a, None, [2914], {2914}, 51.0
2001:268:f702:1a::1, None, [2516], {2516, 7660}, 58.0
223.196.24.26, None, [55644], {9498, 55644}, 240.0
2001:578:603::1b, None, [22773], {22773}, 54.0
83.231.247.58, 2914, [2914], {0, 2914}, 243.0
2001:1900:2100::178e, None, [3356], {21889, 3356}, 47.0
2a00:1a90:0:12::1, None, [45014], {45014}, 43.0
2001:1890:ff:ffff:12:122:28:178, None, [7018], {7018}, 51.0
120.88.54.74, None, [2914], {2914}, 57.0
154.25.11.42, 174, [174], {174}, 237.0
2001:550:2:9::18c:2, None, [174], {136557, 174}, 52.0
2403::625, None, [4755], {4755}, 48.0
2001:1291:0:10e::a, None, [16735], {16735}, 47.0
2001:1900::3:1d5, None, [3356], {2914, 3356, 3549}, 48.0
203.113.59.173, None, [23969], {38040, 23969}, 238.0
2001:550:0:1000::9a36:3a46, None, [174], {174}, 50.0
2405:2000:400::61, None, [6453], {6453}, 52.0
195.2.31.101, 1273, [1273], {1273}, 239.0
2001:200:e000:1377::94, None, [7660], {2500, 7660}, 56.590053763440864
192.72.107.186, 9919, [4780], {4780}, 242.0
240e:0:a::cb:5af0, None, [4134], {4134}, 51.0
2001:450:2002:426::2, None, [3549], {7049, 3549}, 45.96969696969697
2001:ac8:10:10::29, None, [9009], {9009, 6453}, 45.0
95.59.172.42, 9198, [9198], {9198}, 236.0
2404:a800:0:25::181, None, [9498], {9498, 4755, 2914}, 47.0
63.217.112.146, None, [3491], {23520, 3491}, 244.0
2001:550:0:1000::9a36:2b0d, None, [174], {2914, 174}, 53.0
116.0.82.91, 6453, [6453], {6453}, 238.0
2001:240:bb1c:103::11c, None, [2497], {2497}, 55.0
202.47.216.145, None, [4637], {2914, 4637}, 243.0
2001:218:0:4000::32, None, [2914], {2914, 2500, 20485, 52361, 3356, 3549}, 57.0641592920354
86.51.65.234, None, [35819], {2914, 35819}, 239.0
2001:688:0:2:7::9, None, [5511], {2914, 5511}, 52.0
2001:218:4000:5000::d6, None, [2914], {39386, 2914}, 54.0
2001:470:1:936::1, None, [6939], {6939}, 48.0
2001:550:0:1000::9a36:1ddd, None, [174], {174}, 51.0
2620:11c:5001:ffff::a1, None, [13331], {13331}, 55.0
2001:5000:0:14e::1, None, [1273], {1273}, 49.0
162.252.70.75, 11164, [0], {0}, 241.0
2001:668:0:2:ffff:0:d5c8:77d6, None, [3257], {3257}, 50.0
210.89.91.23, 9229, [9229], {9229, 703}, 241.0
2607:5300::1c8, None, [16276], {16276}, 49.0
2001:268:f702:df::2, None, [2516], {9824, 2516}, 56.0
2800:930:800:3::1, None, [27717], {52320, 27717}, 48.0
2001:418:0:2000::a5, None, [2914], {2914}, 53.0
2001:470:0:1f7::1, None, [6939], {6939, -188}, 55.0
202.249.2.180, None, [-574], {-574, 2500}, 59.0
2001:470:0:429::2, None, [6939], {6939}, 48.97979797979798
213.239.224.6, 24940, [24940], {24940}, 242.0
2001:468:fc:40::2, None, [11537], {11537}, 54.3125
2001:4248:0:8::1, None, [30999], {328145, 30999}, 48.0
154.54.0.222, 174, [174], {174}, 244.0
2604:6840:1000::, None, [0], {0, 12989}, 43.0
150.99.198.241, None, [2907], set(), nan
67.16.133.126, 4323, [3549], {3356, 3549}, 239.0
2001:688:0:2:8::b5, None, [5511], {5511}, 48.0
2001:798:19:10aa::2, None, [20965], {5408, 20965}, 52.833333333333336
2804:9:0:1005::1, None, [14840], {14840, 264200, 3549}, 49.0
2607:f740:f::e89, None, [36236], {36236, 174}, 50.0
58.229.10.6, 9318, [9318], {2914, 9318}, 243.0
2803:6940:200:1::2, None, [61512], {61512, 265912}, 45.0
2a01:578:0:ff::31, None, [16509], {6453, 16509}, 36.0
89.149.185.62, 4436, [3257], {3257}, 241.0
95.59.170.65, 9198, [9198], {9198}, 233.0
81.25.202.178, 32934, [2914], {2914, 20811}, 243.0
2001:798:99:1::3a, None, [20965], {513, 20965}, 55.0
2001:200:0:14::2, None, [2500], {2500, 7660}, 56.671487603305785
2001:200:e000:853::2d11:1, None, [7660], {11537, 7660}, 57.0
2400:6500:0:ff::2, None, [38895], {38895}, 41.0
207.231.241.131, 11537, [-636], {0, -636}, 247.0
2001:470:0:3ac::2, None, [6939], {6939}, 56.86734693877551
2600:9000:fff:ff01:0:50:106:21, None, [0], {0}, 49.0
2001:1900:2::3:90, None, [3356], {2914, 3356}, 50.0
2a00:11c0:47:3::f, None, [47147], {42473, 47147}, 49.0
2001:67c:e0::1, None, [197000], {197000, -437, 6939}, 52.0
2001:1900:2100::29da, None, [3356], {3356}, 51.0
2600:4401:2:2c::1, None, [6130], {209, 6130}, 51.0
2001:668:0:2:ffff:0:5995:8b22, None, [3257], {3257}, 53.0
2001:41b0:0:d7::1, None, [12741], {3356, 12741}, 47.0
62.67.36.230, 12389, [3356], {2914, 3356, 12389}, 241.0
154.54.77.245, 174, [174], {174}, 242.0
2803:4e40:0:18:a71a:ffff:0:cccc, None, [264608], {264608}, 42.0
2804:2414::6, None, [264200], {264200}, 47.0
2001:4248:0:12::2, None, [30999], {30999}, 47.0
129.250.6.202, None, [2914], {2914}, 244.0
2001:978:2:28::e:2, None, [174], {60110, 174}, 46.0
2001:468:fc:1e::1, None, [11537], {11537}, 52.666666666666664
2001:4dd0:a000:c3b::c, None, [8422], {8422}, 49.0
62.219.189.37, 8551, [8551], {6762, 8551}, 241.0
2803:2240:1:5:0:f:0:c, None, [263777], {263777}, 41.0
2001:1900:2100::28aa, None, [3356], {2914, 201011, 3356}, 50.5
2001:504:13::211:225, None, [-162], {6939, 199524, -162}, 52.0
2001:504:0:5:0:3:3132:1, None, [-236], {33132, 6939, -236}, 55.0
2001:2f8:ff00:dc::1, None, [2907], {2907, 2500}, 61.0
2001:470:0:2e1::2, None, [6939], {6939, 30036}, 51.0
2001:2000:3080:ce5::2, None, [1299], {1299, 11172}, 48.0
2604:d600:ff0c:15a::2, None, [32098], {32098}, 50.0
12.122.18.10, 7018, [7018], {7018}, 242.9878048780488
2620:104:600a:4::11, None, [53779], {53779}, 48.0
192.35.202.242, 63056, [53610], {53610, 174}, 241.0
98.124.174.250, None, [3257], {3257}, 242.0
2001:428:3801:210:0:28:0:2, None, [209], {209, 18703}, 50.0
2001:418:0:4000::4e, None, [2914], {2914, 6830}, 46.5
173.255.239.51, 63949, [63949], {2914, 63949}, 244.0
2001:4160:1::10a:2, None, [8586], {8586, 13285}, 45.0
149.14.125.90, 38193, [174], {38193, 174}, 240.0
2806:260:0:4::35, None, [0], {0}, 43.0
168.143.229.150, None, [2914], {2914, 21949}, 245.0
2804:2c5c::1, None, [265214], {265214, 53087}, 43.0
2001:550:0:1000::9a36:1995, None, [174], {2914, 174}, 53.0
2001:470:0:13e::1, None, [6939], {-197, 6939, -396}, 58.0
2001:798:cc::1e, None, [20965], {20965}, 54.9375
193.251.252.94, 5511, [0], {0, 5511}, 241.0
203.178.133.142, 2500, [2500], {2907, 2500}, 250.66281755196306
122.0.16.202, None, [23678], {0, 23678}, 51.0
2a00:11c0::1:0:0:3e, None, [42473], {42473}, 45.0
2001:2000:3018:39::1, None, [1299], {1299}, 52.0
202.125.128.156, 17557, [17557], {2914, 17557}, 239.0
188.93.41.18, None, [39180], {29075, 39180, 3356, 41405}, 47.0
2001:1900:2100::146e, None, [3356], {3356, 33069}, 51.0
83.231.213.10, 8455, [2914], {2914}, 243.0
2001:4860:0:1002::1, None, [15169], {15169, -396}, 57.0
2402:4f00::100:92, None, [58453], {58453}, 53.0
162.252.70.106, 11537, [0], {0}, 245.0
195.2.28.226, 1273, [1273], {1273}, 241.0
134.55.42.38, 293, [293], {226, 293}, 55.0
71.145.0.147, 7018, [7018], {7018}, 51.0
2400:c700:1::5e, None, [55644], {55644}, 50.0
2607:f208:e5::10, None, [0], {0, 3356}, 46.0
2a01:3e0:ff50:200::46, None, [6453], {6453}, 51.0
154.54.31.26, 174, [174], {174}, 242.0
202.179.241.77, 24489, [24489], {24489, 7660}, 246.0
2001:578:200:4:1000::51, None, [22773], {22773}, 53.0
2a02:4c00:100:1002::2, None, [12676], {12676}, 48.0
195.200.217.1, None, [41405], {39180, 41405}, 42.0
2001:418:0:2000::30b, None, [2914], {2914, 701}, 55.0
4.68.73.94, 4323, [3356], {2914, 3356, 3549}, 244.0
2401:4900:c0:1::1e6, None, [0], {0, 9498}, 54.0
193.251.241.7, None, [0], {0, 2914}, 243.0
2407:8800:bf00:3b:76a2:e6ff:fe9d:ba09, None, [7545], {7545, 6939}, 51.0
10.255.238.137, None, [0], {0, 55824}, 238.0
2a00:f48:100:0:8000::29, None, [47447], {3356, 47447}, 47.0
2001:468:ff:b02::2, None, [11537], {11537, 61468}, 48.421052631578945
2a00:18d8::100, None, [328126], {328126, 5511}, 45.0
154.24.4.218, 174, [174], {20150, 174}, 240.0
2804:14c:6500:1600:aaac::2, None, [28573], {28573}, 46.0
200.47.158.224, 14187, [14187], {0, 14187, 18678}, 228.0
2400:cb00:a432::1, None, [13335], {3257, 13335}, 49.0
131.113.1.166, 38635, [38635], set(), nan
2001:418:0:2000::19, None, [2914], {2914}, 54.0
2600:c12:0:102:0:6:1:6, None, [12179], {12179, 29791}, 48.0
61.213.169.6, 55569, [2914], {55569, 2914}, 57.0
2804:a8::200:244:27:23, None, [4230], {3356, 4230}, 45.4
96.34.36.27, 20115, [0], {0}, 238.0
195.219.87.94, 6453, [6453], {6453}, 242.0
130.117.48.205, 174, [174], {174}, 243.0
2001:5a0:2200:400::47, None, [6453], {6453}, 51.026785714285715
4.69.159.94, 3356, [3356], {2914, 3356}, 239.0
62.115.118.169, 1299, [1299], {1299}, 246.0
154.54.82.33, None, [174], {174}, 243.0
2402:4f00:100::219, None, [58453], {58453, -330}, 48.0
129.250.2.185, 2914, [2914], {2914}, 243.0
2403:2500:8000:1::6b2, None, [36236], {36236}, 46.0
145.145.166.40, None, [1103], {2907, 1103}, 238.0
2a07:1c40:100c::ffff, None, [0], {0, 49367}, 53.0
2400:8901::f03c:91ff:fec8:eb0f, None, [63949], {63949}, 52.0
2001:380:a110:20::1, None, [4713], {4713, -390, 2914}, 58.0
2a02:4c00:0:1003::42, None, [12676], {12676}, 47.0
2a02:b50:2:3::2, None, [15570], {15570}, 50.0
2001:218:0:2000::a6, None, [2914], {2914}, 55.0
223.196.0.5, None, [0], {0, 55644}, 238.0
2001:218:0:2000::8d, None, [2914], {2914}, 55.0
122.1.245.65, 4713, [4713], {4713, -574, 2914}, 248.99775533108865
2001:550:0:1000::9a36:29ce, None, [174], {174}, 49.0
2001:550:0:1000::9a36:2da9, None, [174], {174}, 50.0
2001:67c:2e8:101::1, None, [3333], {-150, 3333}, 54.0
2001:620:0:c012::2, None, [559], {559}, 52.0
240e:0:a::c9:5a35, None, [4134], {4134}, 51.0
2001:200:0:6002:203:178:137:195, None, [2500], {2500, 7660}, 57.58934169278997
2001:2000:3018:74::1, None, [1299], {1299}, 52.0
2a01:2b0:0:51::d, None, [12552], {12552}, 48.0
2403:1a80:0:901:103:198:140:171, None, [0], {0}, 49.0
2001:504:1a::35:46, None, [-794], {6939, -794, 3367}, 53.0
2001:470:0:270::1, None, [6939], {6939}, 54.93939393939394
2001:730:2800::5474:801a, None, [6830], {6830}, 43.0
154.54.59.98, 174, [174], {174}, 242.0
129.250.4.218, 2914, [2914], {2914}, 243.0
62.115.123.159, 3301, [1299], {1299, 3301}, 240.0
2a05:45c7:f000:1::34, None, [28910], {28910}, 55.0
62.115.12.52, 1299, [1299], {2914, 1299}, 246.0
2001:2000:3080:b97::2, None, [1299], {1299}, 50.0
2001:2000:3080:956::2, None, [1299], {1299}, 51.0
2001:5a0:2200:400::59, None, [6453], {6453, 24439}, 49.0
2404:a800:5a00:101::1, None, [9498], {9498, 174}, 47.0
2001:1900:5:2:2::51fe, None, [3356], {3356}, 54.0
52.93.104.101, None, [0], {0}, 237.0
92.60.104.177, 45014, [45014], {45014}, 46.0
202.68.65.1, None, [2914], {0, 2914}, 246.0
2001:550:0:1000::9a36:3b3e, None, [174], {174}, 49.0
62.115.114.217, None, [1299], {1299}, 242.0
2001:728:0:2000::5e, None, [2914], {2914}, 53.0
2001:67c:1b8c:4::1, None, [197087], {197087}, 46.0
2001:2000:3080:1a6::1, None, [1299], {2914, 1299}, 53.53846153846154
2001:8f8:0:10:0:20:22:12, None, [8966], {8966}, 55.0
154.54.31.189, 174, [174], {174}, 245.0
2001:218:2000:5000::83d, None, [2914], {4713, 2914}, 58.0
2001:218:a000:5000::3a, None, [2914], {2914, 199524}, 49.0
2001:dc3::35, None, [7500], {-574, 7500}, 57.988950276243095
61.11.210.102, 24218, [24218], {24218}, 241.0
2001:438:ffff::407d:1dd4, None, [6461], {6461}, 51.0
2604:200:0:67::2, None, [33132], {33132, 16423}, 49.0
2001:de8:8::2516:1, None, [-396], {2516, 2907, -396}, 59.0
2001:1278:1::215, None, [18734], {18734}, 45.0
2001:200:0:1803::1, None, [2500], {2497, -574, 2500, 7660, 2515}, 250.47165160230074
2001:218:0:2000::122, None, [2914], {4713, 2914, 2500}, 56.52277505255781
2001:418:0:5000::31b, None, [2914], {1273, 2914}, 53.0
190.216.88.34, 262195, [3549], {3549}, 242.0
178.248.218.118, None, [29037], {29037}, 46.0
2001:5a0:ffe0::d, None, [6453], {6453}, 50.0
202.249.2.83, 2500, [-574], {-574, 2515, 2500}, 59.0
2001:470:0:3a5::2, None, [6939], {6939}, 51.0
2001:550:0:1000::9a36:1f5a, None, [174], {2914, 174}, 51.0
2001:418:0:2000::16, None, [2914], {2914}, 54.0
2001:418:16::ea, None, [2914], {2914, 63949}, 54.0
122.0.18.137, None, [23678], {0, 4788, 23678}, 244.0
221.120.254.50, 17557, [17557], {17557}, 238.0
81.212.223.133, 9121, [9121], {9121}, 47.0
92.223.61.3, None, [199524], {2914, 199524}, 53.989583333333336
128.241.4.254, 15133, [2914], {2914}, 245.0
2001:550:0:1000::9a36:1c81, None, [174], {174}, 51.0
195.219.188.38, 35320, [6453], {35320, 6453}, 240.0
2a06:db80:1::1, None, [24631], {25184, 39650, 24631}, 41.0
2001:558:190:1b8::2, None, [7922], {7922}, 46.0
208.73.136.135, None, [32425], {32425, 174}, 54.0
4.34.4.134, None, [3356], {3356, 26094}, 240.0
2605:5080:1001::11, None, [3367], {0, 6939, -794, 3367}, 51.0
2001:558:0:f7cc::2, None, [7922], {7922}, 49.0
2001:218:0:2000::252, None, [2914], {2914}, 54.0
2a06:1287:3308:601::3, None, [206499], {206499, -435, 205591}, 50.0
213.242.82.42, 1836, [3356], {3356}, 239.0
2001:620:0:c002::2, None, [559], {20965, 559}, 54.0
2400:6500::12, None, [38895], {2914, 38895}, 50.0
64.230.33.37, 577, [0], {0}, 242.0
2a03:90c0:131:1:253::228, None, [199524], {-230, 199524, 202422}, 49.0
2a03:90c0:100:1:253::229, None, [199524], {-256, -342, 199524}, 52.0
221.183.55.58, 9808, [9808], {9808, 58453}, 244.0
2001:1900:2::3:34, None, [3356], {2914, 3356}, 51.0
80.91.246.74, 1299, [1299], {1299}, 243.0
195.34.53.53, 8359, [8359], {0, 8359}, 241.0
2001:470:1:634::2, None, [6939], {21737, 6939}, 54.0
87.245.233.58, 9002, [9002], {9002, 3356}, 236.0
62.115.121.13, 1299, [1299], {1299}, 241.0
212.156.47.194, 56582, [9121], {9121, 56582}, 236.0
2800:5f0:800:3c::2, None, [22724], {22724}, 237.0
2001:41a8:5200:2::1a6, None, [6762], {6762, 36236}, 48.0
2001:6f0:81:100::102, None, [3246], {3246}, 44.0
2001:558:0:f691::2, None, [7922], {7922, 2914}, 48.0
114.31.196.51, 4826, [4826], {0, 4826}, 244.0
2408:8000:2:2f3::, None, [4837], {4837}, 240.0
62.115.117.49, 1299, [1299], {1299}, 244.0
2001:268:fa00:2f1::2, None, [2516], {-396, 2516}, 57.0
2001:4de0:5001:16::2, None, [12989], {12989, 266167}, 47.0
217.25.208.158, 47165, [47165], {20485, 47165}, 238.0
2001:558:0:f5eb::2, None, [7922], {7922}, 50.0
123.255.90.138, None, [-330], {24218, 7660, -330}, 247.0
2001:504:16::3413, None, [-728], {-728, 6939, 13331}, 57.0
2001:550:0:1000::9a36:33e, None, [174], {2914, 2149, 174}, 52.0
212.162.41.118, 8697, [3356], {2914, 3356}, 241.0
2001:550:2:3d::29:2, None, [174], {174}, 49.0
212.188.29.9, 8359, [8359], {8359}, 243.0
2407:8800:bf00:91::2, None, [7545], {7545}, 50.0
2a01:300:1:159::2, None, [9009], {9009}, 44.0
185.233.140.66, None, [0], {0, 6736, 6453}, 240.0
2001:218:c000:5000::146, None, [2914], {2914}, 54.0
2800:200:2000::8000:c3, None, [12252], {12252}, 48.0
2001:668:0:3:ffff:1:0:3d3, None, [3257], {3257}, 49.0
2800:630:5810:1::1, None, [7049], {7049}, 43.0
216.126.230.1, None, [20150], {174, 20150}, 48.0
212.188.28.214, 8359, [8359], {8359}, 232.66666666666666
112.188.217.42, 4766, [4766], {4766}, 241.0
106.39.255.62, 23724, [23724], {23724}, 242.0
2001:1248:2:100f:ff:ff00:c85e:5dd6, None, [11172], {1299, 11172}, 46.0
2001:218:0:2000::2ea, None, [2914], {2914}, 56.0
2804:a8::200:244:29:152, None, [4230], {4230}, 42.0
2001:418:0:2000::2dd, None, [2914], {2914}, 52.0
2a01:5e0::1:18, None, [6830], {6830}, 46.0
2001:4450:10:6000::3d, None, [9299], {9299}, 56.0
154.54.42.101, 174, [174], {174}, 245.0
2604:1380:1000::1, None, [54825], {54825}, 48.0
197.157.77.130, None, [37271], {2914, 37271}, 228.0
2001:418:0:5000::8c3, None, [2914], {0, 2914}, 51.0
2604:d600:ff0c:d5::11:5, None, [32098], {32098, 1299}, 53.0
2001:504:b:10::23, None, [0], {0, 668, 22388}, 55.0
